iter	RMSE
135	7.825467393
136	7.784293515
137	7.744314637
138	7.709755171
139	7.675711551
140	7.640309032
141	7.599301204
142	7.568342913
143	7.533260643
144	7.510700377
145	7.483767326
146	7.443300957
147	7.409294019
148	7.377474165
149	7.338314291
150	7.311208427
151	7.277252309
152	7.248698569
153	7.2188871
154	7.191337861
155	7.165715652
156	7.126346759
157	7.103610945
158	7.07627143
159	7.045332634
160	7.011324934
161	6.991967031
162	6.965002675
163	6.942128116
164	6.923432462
165	6.894430437
166	6.869048031
167	6.839525288
168	6.816527639
169	6.797686376
170	6.783704831
171	6.743371277
172	6.725341646
173	6.696959597
174	6.665680498
175	6.640376075
176	6.611876209
177	6.589435729
178	6.571781802
179	6.548155325
180	6.533855308
181	6.507753301
182	6.496628012
183	6.481154075
184	6.458492503
185	6.444750975
186	6.418283884
187	6.402454373
188	6.385998012
189	6.356770821
190	6.339468599
191	6.32603664
192	6.307093488
193	6.294839585
194	6.27945656
195	6.257323298
196	6.232211958
197	6.211877018
198	6.196843445
199	6.175576091
200	6.148649907
201	6.125489545
202	6.107076208
203	6.095471716
204	6.068139386
205	6.043483728
206	6.019587797
207	6.006641928
208	5.988159635
209	5.960614545
210	5.936033938
211	5.919089555
212	5.908053613
213	5.896837153
214	5.874754751
215	5.859243478
216	5.836523575
217	5.825632898
218	5.806446688
219	5.790422404
220	5.774132745
221	5.757478944
222	5.735279645
223	5.718989791
224	5.703490121
225	5.681548491
226	5.662448976
227	5.652299152
228	5.642199316
229	5.633560039
230	5.615672726
231	5.598719779
232	5.583824676
233	5.568405819
234	5.546866511
235	5.533846976
236	5.522011001
237	5.507197409
238	5.495297671
239	5.480831761
240	5.466323489
241	5.4484157
242	5.429600919
243	5.413777562
244	5.397363535
245	5.373597878
246	5.364275943
247	5.346895729
248	5.328731423
249	5.316563199
250	5.303379189
251	5.288224465
252	5.276417634
253	5.264506973
254	5.251219759
255	5.235216732
256	5.214837696
257	5.195148832
258	5.17959979
259	5.161860331
260	5.151196088
261	5.139940967
262	5.122108629
263	5.113890519
264	5.10591217
265	5.087807788
266	5.069739226
267	5.060912425
268	5.046663334
269	5.032465322
270	5.017267557
271	4.999919254
272	4.989604887
273	4.974861051
274	4.963382605
275	4.950180346
276	4.937904961
277	4.923689591
278	4.910430541
279	4.899641143
280	4.883963238
281	4.867697699
282	4.852857685
283	4.84201687
284	4.824888941
285	4.81081117
286	4.801839196
287	4.792557153
288	4.783143646
289	4.767045461
290	4.75568435
291	4.743545011
292	4.73031784
293	4.715806017
294	4.707107379
295	4.695438728
296	4.681864928
297	4.667713423
298	4.657229574
299	4.647940145
300	4.634419127
301	4.621763456
302	4.610780446
303	4.598748275
304	4.589736635
305	4.579612446
306	4.567836394
307	4.55664267
308	4.545727787
309	4.53321407
310	4.521786129
311	4.509762746
312	4.497010912
313	4.483414399
314	4.46987474
315	4.463859512
316	4.454502653
317	4.443375755
318	4.432858949
319	4.421199203
320	4.413129408
321	4.401614497
322	4.391212192
323	4.383475142
324	4.373297198
325	4.363980364
326	4.354575276
327	4.341354157
328	4.330177002
329	4.322618689
330	4.310373575
331	4.29970182
332	4.29329474
333	4.282380148
334	4.275240179
335	4.262783475
336	4.251910662
337	4.243087964
338	4.234021429
339	4.228184273
340	4.220855791
341	4.213059579
342	4.202686269
343	4.192205375
344	4.184157974
345	4.178716434
346	4.169854066
347	4.1603509
348	4.149413668
349	4.142197414
350	4.13350733
351	4.126685773
352	4.121897643
353	4.111402616
354	4.101429699
355	4.090727673
356	4.081521525
357	4.073066647
358	4.064299931
359	4.055223326
360	4.044333028
361	4.035113108
362	4.025400086
363	4.01610191
364	4.010666957
365	4.002513849
366	3.996382799
367	3.989850501
368	3.981195148
369	3.972669844
370	3.963830084
371	3.95706203
372	3.947741707
373	3.94011483
374	3.932663883
375	3.925025414
376	3.916964108
377	3.911343389
378	3.90744338
379	3.900899832
380	3.894879446
381	3.88733571
382	3.879452259
383	3.873000713
384	3.866551589
385	3.860694801
386	3.854879774
387	3.846740777
388	3.83917358
389	3.831353898
390	3.826163171
391	3.819888712
392	3.813117081
393	3.804732046
394	3.798186114
395	3.791933289
396	3.788286941
397	3.781280189
398	3.778210989
399	3.774441791
400	3.769070847
401	3.76299936
402	3.754266114
403	3.747303954
404	3.739848825
405	3.734858239
406	3.728201519
407	3.721812342
408	3.715605574
409	3.707201683
410	3.699329033
411	3.692721826
412	3.686030641
413	3.680178268
414	3.673801251
415	3.669684817
416	3.663314928
417	3.655091684
418	3.647760216
419	3.642169389
420	3.636939592
421	3.630138759
422	3.623199604
423	3.616060386
424	3.608971784
425	3.604193383
426	3.597332626
427	3.591929393
428	3.586879388
429	3.583738062
430	3.578307368
431	3.57323036
432	3.568286729
433	3.561380924
434	3.555532652
435	3.54889253
436	3.543816446
437	3.539555755
438	3.535102878
439	3.529454521
440	3.523149085
441	3.51887765
442	3.512068042
443	3.507725433
444	3.501172792
445	3.495878028
446	3.489567087
447	3.484118654
448	3.47718124
449	3.471877082
450	3.469384158
451	3.464256893
452	3.458319243
453	3.453590531
454	3.447741302
455	3.443227466
456	3.437082516
457	3.430753216
458	3.425213558
459	3.419848794
460	3.414914837
461	3.410020785
462	3.40426591
463	3.401878846
464	3.396098312
465	3.392439136
466	3.385640245
467	3.381641887
468	3.374112024
469	3.369981676
470	3.366262177
471	3.360635801
472	3.357231156
473	3.351814706
474	3.346964914
475	3.34204066
476	3.337896991
477	3.333509558
478	3.329894235
479	3.32361549
480	3.317581459
481	3.312818294
482	3.309913115
483	3.304194189
484	3.300460135
485	3.295607176
486	3.29012391
487	3.284795783
488	3.280072691
489	3.2758824
490	3.270962794
491	3.265181709
492	3.259438373
493	3.255146221
494	3.249980485
495	3.246833089
496	3.243775209
497	3.240010108
498	3.235430837
499	3.231255882
500	3.224831558
501	3.219903789
502	3.214430944
503	3.209361655
504	3.204134368
505	3.20029923
506	3.195540186
507	3.192534695
508	3.188898038
509	3.185730396
510	3.180669737
511	3.176664347
512	3.172020095
513	3.16743653
514	3.163669616
515	3.160226873
516	3.156567395
517	3.152061316
518	3.147720445
519	3.143325517
520	3.139524614
521	3.135642395
522	3.131845476
523	3.127977725
524	3.124408252
525	3.121718153
526	3.116720939
527	3.11366114
528	3.109350598
529	3.105250251
530	3.101822706
531	3.099642545
532	3.094668489
533	3.091005452
534	3.08584664
535	3.08273703
536	3.078258804
537	3.07560686
538	3.073091738
539	3.067889682
540	3.065388739
541	3.060939679
542	3.056687854
543	3.052409052
544	3.048522833
545	3.044742988
546	3.040213282
547	3.035552983
548	3.031466031
549	3.028744434
550	3.024806865
551	3.021229939
552	3.017249539
553	3.01377288
554	3.010189867
555	3.007412448
556	3.003843355
557	2.999987137
558	2.996414866
559	2.992157504
560	2.988442936
561	2.984249091
562	2.980079311
563	2.976610239
564	2.971262717
565	2.967175105
566	2.96332281
567	2.959414995
568	2.955620939
569	2.952166612
570	2.947962365
571	2.942956525
572	2.938968363
573	2.935132876
574	2.931060237
575	2.926734717
576	2.923780771
577	2.920349765
578	2.917113639
579	2.912953762
580	2.909576801
581	2.906371189
582	2.903560614
583	2.900317224
584	2.896646682
585	2.89341654
586	2.889658028
587	2.886091657
588	2.88287957
589	2.879220596
590	2.876166807
591	2.872707041
592	2.869871837
593	2.867652322
594	2.86450208
595	2.861547841
596	2.857657061
597	2.855051309
598	2.852391109
599	2.850057034
